BRASIL E UNIDADES DA FEDERAÇÃO;POPULAÇÃO ESTIMADA
Brasil;211755692
Região Norte;18672591
Rondônia;1796460
Acre;894470
Amazonas;4207714
Roraima;631181
Pará;8690745
Amapá;861773
Tocantins;1590248
Região Nordeste;57374243
Maranhão;7114598
Piauí;3.281.480(1)
Ceará;9.187.103(1)
Rio Grande do Norte;3534165
Paraíba;4039277
Pernambuco;9.616.621(2)
Alagoas;3.351.543(2)
Sergipe;2.318.822(3)
Bahia;14.930.634(3)
Região Sudeste;89012240
Minas Gerais;21292666
Espírito Santo;4064052
Rio de Janeiro;17366189
São Paulo;46289333
Região Sul;30192315
Paraná;11516840
Santa Catarina;7252502
Rio Grande do Sul;11422973
Região Centro-Oeste;16504303
Mato Grosso do Sul;2809394
Mato Grosso;3526220
Goiás;7.113.540(4)
Distrito Federal;3.055.149(4)
